org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
Mounds View Public Schools Health Reimbursement Tr,MOUNDS VIEW PUBLIC SCHOOLS TTEE,94-6801683,"[' <em>Health</em> Reimbursement Arrangement funded by Mounds View <em>Public</em> Schools <em>Health</em> Reimbursement Trust benefitting 1276 participants throughout the plan year 2021.', ""EMPLOYEES' BENEFICIARY ASSOCIATION (VEBA)TO FUND REIMBURSEMENT OF ELIGIBLE MEDICAL EXPENSES UNDER A <em>HEALTH</em> REIMBURSEMENT ARRANGEMENT Community""]",St Paul,MN,2869848,1596498,A VOLUNTARY EMPLOYEES' BENEFICIARY ASSOCIATION (VEBA)TO FUND REIMBURSEMENT OF ELIGIBLE MEDICAL EXPENSES UNDER A HEALTH REIMBURSEMENT ARRANGEMENT,,,,,
"Health Imperatives, Inc.",,04-2609177,"[' <em>health,</em> <em>public health,</em> human services, <em>health</em> access, <em>health</em> literacy, cultural competency, advocacy, prevention, family planning, domestic violence, <em>Health,</em> Out-patient medical care, <em>Health</em> care clinics, <em>Public health,</em> Social and economic status, Economically', ""<em>Health</em> Imperative's mission is to improve the <em>health</em> and well-being of low-income or vulnerable families and individuals in Southeastern Massachusetts. health""]",Brockton,MA,6273142,17912076,Health Imperative's mission is to improve the health and well-being of low-income or vulnerable families and individuals in Southeastern Massachusetts.,https://facebook.com/healthimperatives,https://twitter.com/HealthImp,,,
New Mainers Public Health Initiative,,47-1765878,"[' <em>Health,</em> <em>Public health,</em> Age groups, Children and youth, Social and economic status, Economically disadvantaged people, Low-income people, Non-governmental organizations, <em>Public</em> charities', 'ASSISTS WITH APPLICATIONS FOR BENEFITS. CONNECTS COMMUNITY MEMBERS WITH APPROPRIATE HELP. NEW MAINER <em>PUBLIC HEALTH</em> INITIATIVE HAVE ADDED FEW NEW PROGRAMS. WE OFFERED <em>WOMENS HEALTH,</em> MENS <em>HEALTH,</em> ADOLESCENTS <em>HEALTH,</em> ORAL <em>HEALTH</em> EDUCATION, THRIVE, AUTISM AWARENESS, NEW MAINERS WELLNESS PROGRAMS, COMMUNITY <em>HEALTH</em> WORKERS. WE ALSO OFFER PROGRAMS, WHICH WE COLLABORATED WITH OTHER ORGANIZATIONS. NAVIGATING HEALTHCARE']",Lewiston,ME,275646,1352326,"ENGAGE, EMPOWER, EDUCATE AND ADVOCATE TO THE IMMIGRANTS AND REFUGEES ABOUT PREVENTIVE HEALTH MEASURES THROUGH THE PROMOTION OF HEALTHY HABITS BY DEVELOPING THE CAPACITY TO MOBILIZE COMMUNITY PARTNERSHIPS IN IDENTIFYING AND SOLVING HEALTH PROBLEMS... CONTINUED ON SCHEDULE O",,,,,
Appalachian Partners in Public Health,,56-2142065,"[' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Sparta,NC,0,0,"TO FUND ADVOCACY, AWARENESS, AND IMPROVEMENT.",,,,,
Willard C Scrivner M D Public Health Foundation,,36-4162144,"[' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities', 'THE PURPOSE OF THE FOUNDATION IS TO PROMOTE THE <em>HEALTH</em> AND WELL BEING OF THE RESIDENTS OF ST. CLAIR COUNTY ILLINOIS THROUGH VARIOUS PROGRAMS AND ACTIVITIES THAT IT SPONSORS. Health']",Belleville,IL,75573,11631,THE PURPOSE OF THE FOUNDATION IS TO PROMOTE THE HEALTH AND WELL BEING OF THE RESIDENTS OF ST. CLAIR COUNTY ILLINOIS THROUGH VARIOUS PROGRAMS AND ACTIVITIES THAT IT SPONSORS.,,,,,
Center for Integrated Medicine in Public Health,,27-0362075,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Portland,OR,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Western Wisconsin Public Health Education Consortium Incorporated,,39-1423660,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Eau Claire,WI,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
MARYLAND PUBLIC HEALTH ASSOCIATION INC,,52-0799596,"['To improve <em>public health</em> in Maryland through education and advocacy.', ' social justice, <em>public health,</em> <em>health</em> in all policies, <em>Public</em> affairs, Non-governmental organizations, <em>Public</em> charities']",Columbia,MD,60421,61383,To improve public health in Maryland through education and advocacy.,https://facebook.com/MdPHA,https://twitter.com/Md_PHA,,https://instagram.com/mdpublichealth,
Commission On the Publics Health System Inc,,13-4073990,"[' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",New York City,NY,139900,173583,SEE SCHEDULE O,,,,,
Missouri Association of Local Public Health Agencies,,43-1684331,"[' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, Associations']",Jefferson City,MO,169923,117432,See Schedule O,,,,,
Missouri Public Health Assn Education Foundation Inc,,43-1652927,"[' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, Supporting organizations (general), Supporting organizations (general): Type 2, <em>Public</em> charities']",Jefferson City,MO,31420,5203,SEE SCHEDULE O,,,,,
Iowa Public Health Association Foundation,,23-7327835,"['UNITING AND STRENGTHENING THE VOICE FOR <em>PUBLIC HEALTH</em> IN IOWA.', ' IPHA PROVIDES ITS MEMBERS ACCESS TO <em>PUBLIC HEALTH</em> INFORMATION AND CONNECTIONS TO DECISION MAKERS AND ALL IOWANS. THIS IS DONE THROUGH NEWSLETTERS AND ELECTRONIC COMMUNICATIONS, LEADERSHIP OPPORTUNITIES, AND NETWORKING CONNECTIONS. IPHA COORDINATES EDUCATIONAL ']",Des Moines,IA,449364,770358,UNITING AND STRENGTHENING THE VOICE FOR PUBLIC HEALTH IN IOWA.,,,,,
Northern Nevada Institute for Public Health Inc,,46-1141274,"['TO PROMOTE AND DEVELOP <em>PUBLIC HEALTH</em> LEADERS ACROSS NEVADA', ' Implemented <em>public health</em> training initiatives throughout rural Nevada Developed a peer support navigator program to support the <em>health</em> of recentlhy resettled populationsLead workforce development initiatives in rural Nevada']",Gardnerville,NV,443172,411934,TO PROMOTE AND DEVELOP PUBLIC HEALTH LEADERS ACROSS NEVADA,,,,,
TURTLE ISLAND RESTORATION NETWORK (TIRN),"Sea Turtle Restoration Project, Salmon Protection and Watershed Network, SPAWN",91-1818080,"['longlining, salmon, <em>public health,</em> biodiversity, marine conservation, ocean biodiversity, longlining, endangered sea turtles, salmon, mercury, <em>public health,</em> California, Texas, Hawaii, Costa Rica, Environment, Natural resources, Water resources, Oceans and coastal waters, Rivers and lakes, Biodiversity, Wildlife biodiversity, Endangered species protection, <em>Health,</em> <em>Public health,</em> Age groups, Children', 'Children and youth, Adults, Non-governmental organizations, <em>Public</em> charities']",Forest Knolls,CA,4564227,2144055,"Turtle Island's mission is to mobilize people in local communities around the world to protect marine wildlife and the oceans and inland watersheds that sustain them. Our work is buoyed by thousands of supporters, volunteers and pro bono professionals, who help us extend our network around the globe. We accomplish our mission through grassroots empowerment, consumer action, strategic litigation, hands-on restoration, environmental education, and by promoting sustainable local, national and international marine policies.",https://facebook.com/seaturtles.org,https://twitter.com/SeaTurtles_org,https://youtube.com/SeaTurtleRestoration,https://instagram.com/turtleislandrestorationnetwork,
Montana Public Health Association,,81-0372178,"['SEEKING OPTIMAL <em>HEALTH</em> AND WORKING TO SHAPE <em>PUBLIC HEALTH</em> POLICY FOR ALL MONTANANS.', ' <em>Health,</em> Non-governmental organizations, <em>Public</em> charities']",Missoula,MT,0,0,SEEKING OPTIMAL HEALTH AND WORKING TO SHAPE PUBLIC HEALTH POLICY FOR ALL MONTANANS.,,,,,
National Association for Continence,NAFC,57-0767383,"['continence, bladder control, bowel control, voiding dysfunction, pelvic floor disorders, <em>public health</em> education, patient advocacy, <em>Health,</em> Age groups, Adults, Non-governmental organizations, <em>Public</em> charities', 'The mission of NAFC is to be the leading source for <em>public</em> education and advocacy about the causes, prevention, diagnosis, treatments, and management alternatives for bladder and bowel dysfunction.  Our key objectives are to destigmatize incontinence, promote preventive measures, motivate individuals to seek treatment, and provide collaborative advocacy and service for those who are affected by these']",Charleston,SC,372025,491550,"The mission of NAFC is to be the leading source for public education and advocacy about the causes, prevention, diagnosis, treatments, and management alternatives for bladder and bowel dysfunction. Our key objectives are to destigmatize incontinence, promote preventive measures, motivate individuals to seek treatment, and provide collaborative advocacy and service for those who are affected by these problems. Our constituents are not just people who are dealing with incontinence (whether personally or as a caregiver), but real people with lives to live, places to go, errands to run, families to take care of.",https://facebook.com/BHealth.NAFC/,,https://youtube.com/channel/UCLyJevBPSzguq27naAQ0L6w,https://instagram.com/bhealth_nafc/,https://linkedin.com/company/69925818/admin/feed/posts/
SCRANTON PUBLIC LIBRARY,Albright Memorial Library,24-6000426,"['Scranton <em>Public</em> Library strives to enhance the lives of all individuals by offering free access to materials and programs designed to satisfy the informational and recreational needs of our community.', ' community engagement, information literacy, <em>health</em> literacy, financial literacy, basic literacy, civic and social literacy, digital literacy, Information and communications, Libraries, <em>Public</em> libraries']",Scranton,PA,4428949,3506855,The Scranton Public Library strives to enhance the lives of all individuals by offering free access to materials and programs designed to satisfy the informational and recreational needs of our community.,https://facebook.com/ScrantonLibrary,https://twitter.com/ScrantonLibrary,https://youtube.com/ScrantonPublicLibrary,https://instagram.com/scrantonpubliclibrary,
Arizona Public Health Association,AZPHA,51-0198821,"['Our mission is to improve the <em>health</em> of all Arizonans through education, advocacy and programs. We are the voice for <em>public health</em> in Arizona.', ' Advocacy, education, training, <em>public health</em> in Arizona, <em>Public</em> affairs, <em>Public</em> safety, Non-governmental organizations, <em>Public</em> charities']",Phoenix,AZ,460948,225462,"Our mission is to improve the health of all Arizonans through education, advocacy and programs. We are the voice for public health in Arizona.",https://facebook.com/pages/Arizona-Public-Health-Association-AZPHA/83719077162,https://twitter.com/azpha,,,
VILLA INTERNATIONAL ATLANTA INC,,23-7052934,"['nearly 500 international <em>public health</em> workers. The Villa facility is within easy walking distance of CDC and Rollins School of <em>Public Health.</em> The accommodations are simple but pleasant, affording safety and privacy, while encouraging community fellowship and cultural exchange.', 'Villa’s mission is to promote the <em>health</em> and wellness of the world by creating a safe, affordable short-term place to live for international doctors, researchers, and <em>public health</em> professionals. We promote mutual respect, friendship, and global understanding.Villa International serves all geographic areas. Villa has hosted over 26,000 medical scholars and others from 179 countries.  Each year, Villa']",Atlanta,GA,1969044,506024,"Villa’s mission is to promote the health and wellness of the world by creating a safe, affordable short-term place to live for international doctors, researchers, and public health professionals. We promote mutual respect, friendship, and global understanding.
Villa International serves all geographic areas. Villa has hosted over 26,000 medical scholars and others from 179 countries. Each year, Villa provides a welcoming “home away from home” for nearly 500 international public health workers. The Villa facility is within easy walking distance of CDC and Rollins School of Public Health. The accommodations are simple but pleasant, affording safety and privacy, while encouraging community fellowship and cultural exchange.",https://facebook.com/villainternational/,,,,
ASSOCIATION FOR COMMUNITY EMPOWERMENT SOLUTIONS,ACES World,52-2310040,"[""gender equality and empowering all women and girls worldwide (SDG 5). Our Global <em>Health</em> Applied Practice Experience for MPH students strategically expands and develops <em>public health</em> professionals' skills and competencies, working as a community partner of the George Washington University Milken School of <em>Public Health,</em> Florida International University, and the University of Alabama, Bimingham.  We provide"", 'Adolescent Girls, <em>Public Health</em> Practice, Data, Education, <em>Health,</em> Human rights, Age groups, Children and youth, Sexual identity, Women and girls, Family relationships, Families, Social and economic status, Economically disadvantaged people, At-risk youth, Victims and oppressed people, Work status and occupations, Academics, Students, Teachers, Non-governmental organizations, <em>Public</em> charities ASK4Girls']",Washington,DC,0,0,"The Association for Community Empowerment Solutions envisions a world where extreme global poverty is eliminated, access to free quality education is universal, and through education, children are empowered to change the world. ACES World is a community of individuals and organizations working to accelerate an end to global poverty by removing the impediments to quality education though partnering and knowledge sharing to create a world of shared prosperity.",https://facebook.com/ACESWorld4All,https://twitter.com/ACESWorld4All,https://youtube.com/https://www.youtube.com/channel/UCbtWC23XrYw36hcsQ_d9Rnw,https://instagram.com/ACESWorld4All,https://linkedin.com/company/association-for-community-empowerment-solutions/?viewAsMember=true
Mundo Gardens,,82-5074090,"[' advocacy , education, <em>public health,</em> Community and economic development, Community improvement, Community beautification, Gardening, Ethnic and racial groups, Social and economic status, <em>Health,</em> Non-governmental organizations, <em>Public</em> charities', ' culturally responsive programming working to impact the social determinants of <em>health.</em> advocacy']",National City,CA,4952,212039,Community Garden and Social Justice Organization with culturally responsive programming working to impact the social determinants of health.,,,,,
